"자치구명","생년월일","성별","동일세대_학령기인구수","동일세대_미취학아동수","직업군","평균_문자대상자수","평균_통화대상자수","평균_통화량","세대주여부","1인가구여부","주택보유여부","대출여부","연체여부","사업자여부","동일세대_세대원_수","추정연소득","추정연소득_백분위","총자산평가금액","순자산평가금액","차량보유","총대출약정금액","주택담보대출약정금액","신용대출약정금액","자동차대출약정금액","카드소비금액","신용카드소비금액","체크카드소비금액","일시불이용금액","할부이용금액","현금서비스이용금액","해외카드이용금액","신용카드기관수","체크카드기관수","카드사_최근1년_월평균_이용금액","가맹점합산이용금액","가맹점분류_이용비중1","가맹점분류_이용비중2","가맹점분류_이용비중3","가맹점분류_이용비중4","가맹점분류_이용비중5","가맹점분류_이용비중6","가맹점분류_이용비중7","가맹점분류_이용비중8","가맹점분류_이용비중9","가맹점분류_이용비중10","가맹점분류_이용비중11","가맹점분류_이용비중12","가맹점분류_이용비중13","가맹점분류_이용비중14","가맹점분류_이용비중15","가맹점분류_이용비중16","가맹점분류_이용비중17","가맹점분류_이용비중18","가맹점분류_이용비중19","배달앱_이용금액","제주도지역_이용금액","해외여행_이용금액","마케팅_슈퍼마켓_이용금액","마케팅_편의점_이용금액","마케팅_온라인쇼핑_이용금액","마케팅_소셜커머스_이용금액","온라인_카드사용_금액","온라인_카드사용_건수","오프라인_카드사용_금액","오프라인_카드사용_건수","주중_소비비중","3개월내_승인건수비중1","3개월내_승인건수비중2","3개월내_승인건수비중3","3개월내_승인건수비중4","3개월내_승인건수비중5","12개월내_월별_이용금액_평균","12개월내_월별_이용금액_표준편차","12개월내_월별_이용금액_최대값","12개월내_월별_이용금액_최소값","12개월내_이용금액_비중1","12개월내_이용금액_비중2","12개월내_이용금액_비중3","12개월내_이용금액_비중4","12개월내_이용금액_비중5","12개월내_이용금액_비중6","12개월내_이용금액_비중7","12개월내_이용금액_비중8","12개월내_이용금액_비중9","12개월내_이용금액_비중10","12개월내_이용금액_비중11","12개월내_이용금액_비중12","3개월내_택시_이용건수","3개월내_대중교통_총이용건수","3개월내_대중교통_이용건수1","3개월내_대중교통_이용건수2","3개월내_탑승정류장수","평일_이동_총횟수","휴일_이동_총횟수","평일_총이동거리","평일_이동속도_평균","휴일_총이동거리","휴일_이동속도_평균","택시이용_이동횟수","네비게이션이용_이동횟수","지하철_이동일수"
"강남구",1974,"남",1,0,440,NA,NA,NA,"세대주",0,1,1,0,1,6,63580,8,695010,700000,0,20000,0,18700,0,12884,9414,3470,10814,0,0,463,3,5,4,10035000,0.124449750055958,0,0.0259643363426099,0.017458777885548,0.180705812131612,0.0282772513616355,0.293889427740058,0,0,0.024770573752145,0.0186525404760128,0,0,0.144221442960531,0,0,0.000596881295232411,0,0.141013205998657,0,0,0,147000,289000,295000,290000,3818000,123,7184000,186,0.65,0.06,0.17,0.4,0.11,0.02,4580000,2640032.46,13661000,1409000,0.04,0,0.47,0,0,0.03,0,0.01,0,0,0.14,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"중랑구",1973,"남",2,0,910,NA,NA,NA,"세대주",0,0,0,0,0,6,35000,36,427610,430000,0,0,0,0,0,6099,4295,1804,5521,352,0,235,2,2,3,5875000,0.308974513830173,0,0.0277811329870757,0.0824978862181423,0.0899867133711801,0,0.0458992631960382,0.0572532914603213,0,0.0527841526754439,0,0.14627370455369,0,0.0393767363208117,0.000483150138905665,0,0,0,0.148689455248218,0,0,0,9000,132000,154000,47000,310000,30,5543000,265,0.76,0.16,0.16,0.2,0.3,0.13,2188000,757423.33,3848000,1548000,0.04,0.02,0.25,0,0,0.19,0,0.03,0.01,0,0,0,11,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서대문구",1975,"남",3,1,510,NA,NA,NA,"세대주",0,0,0,0,0,6,46000,18,371290,371290,0,0,0,0,0,5318,3835,1483,5692,437,0,121,2,2,2,3342000,0.200242891841692,0,0.0276468066866695,0.218674096299471,0.102728961280183,0.0487926846692385,0,0.00707243891984569,0,0,0,0.0934419202743249,0.125303614802115,0.0810115730818688,0,0,0,0.0478639805686527,0.0472210315759394,0,0,0,0,0,0,0,1261000,28,1515000,47,0.78,0.07,0.3,0.2,0.2,0.02,1949000,311260.44,2437000,1009000,0.23,0,0.15,0,0,0.36,0,0,0.01,0,0,0.09,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서초구",1979,"남",3,0,910,76,45,450,"세대주",0,1,0,0,0,6,56000,11,1325330,1336220,0,0,0,0,0,412,412,0,412,0,0,0,2,3,2,3852000,0.227997030098806,0,0.157119195842138,0.160717345365241,0.0248443657547547,0,0,0.0485464618196356,0,0,0.00514021360443201,0,0.000514021360443201,0.0937803415386373,0,0,0.0115369238677252,0.0675081386715403,0.202295962076646,0,0,0,114000,4000,0,0,0,0,3114000,62,0.64,0.16,0.29,0.3,0.17,0,1719000,1634159.93,7244000,505000,0.09,0,0.16,0,0.07,0.35,0,0.15,0.03,0,0.07,0,0,0,0,0,0,210,58,6300,53,920,40,240,110,180
"성북구",1983,"여",2,1,420,NA,NA,NA,"세대주",0,0,0,0,0,6,43000,22,162500,172720,0,0,0,0,0,9556,6120,3436,7270,1480,0,0,1,3,2,6653000,0.2636979853135,0,0,0.0448126529843721,0.0550743739408774,0,0,0.00979099981171154,0,0.00141216343438147,0.0223121822632273,0.0155337977781962,0.233760120504613,0.00687252871398983,0,0.0082846921483713,0,0,0.33844850310676,380000,0,0,76000,42000,0,553000,2802000,55,3501000,119,0.68,0.09,0.28,0.05,0.15,0.13,3263000,1014959.9,4716000,1824000,0.01,0,0.32,0,0,0.24,0,0.03,0.01,0,0.02,0,10,15,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"은평구",1937,"남",1,0,910,NA,NA,NA,"세대주",0,0,0,0,0,6,25000,68,111990,111990,0,0,0,0,0,347,320,27,423,0,0,0,1,2,1,314000,0.0142623174559847,0,0,0.033847413675447,0,0,0,0,0,0,0.0015695373276921,0,0,0.657431418042855,0,0,0,0.292889313498021,0,0,0,0,0,0,0,0,0,0,284000,13,0.85,0.11,0.21,0.44,0.16,0,126000,142982.41,551000,44000,0.02,0,0,0,0,0.12,0,0,0,0,0,0.22,0,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"동대문구",1951,"여",1,1,910,26,10,8,"세대주",0,1,0,0,0,6,22000,78,175000,166640,0,0,0,0,0,406,394,12,398,0,0,0,2,2,1,321000,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,84000,0,0,0,79000,6,160000,7,0.68,0.21,0.14,0.4,0.3,0,357000,822481.84,1743000,31000,0.05,0,0,0,0,0.04,0,0.18,0,0,0.01,0,0,3,0,0,3,100,31,960,23,1100,44,52,0,110
"마포구",1948,"남",2,0,910,NA,NA,NA,"세대주",0,0,0,0,0,6,22000,78,463220,426120,0,0,0,0,0,88,0,88,88,0,0,0,0,1,1,105000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112000,3,0,0,1,0.83,0,0,0,0,95000,151925,499000,80000,0,0.02,0,0,0,0.04,0,0,0,0.02,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"양천구",1971,"남",3,0,520,NA,NA,NA,"세대주",0,1,1,0,1,6,93000,3,1252500,1325330,0,198000,150000,25000,0,16391,16391,0,9180,4695,6160,68,5,2,5,8437000,0.056029148906916,0,0,0.0255052935514918,0.0699848755671662,0.00213117008112196,0.0663412622026674,0,0,0.0114120720472982,0.000824969063660113,0.0473669737384848,0.444383335624914,0.122507905953527,0,0,0.004881066959989,0.0694348961913928,0.0791970301113708,625000,0,0,136000,71000,922000,81000,3158000,116,7536000,138,0.62,0.14,0.16,0.15,0.26,0.04,5620000,9416351.47,33459000,3649000,0.01,0,0.04,0,0,0.24,0,0,0.01,0,0.06,0,9,432,109,158,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"동대문구",1979,"여",3,0,420,14,8,41,"세대주",0,0,0,0,0,6,29000,54,27790,0,0,0,0,0,0,3341,3341,0,2130,480,0,0,4,3,2,1850000,0.199968705992802,0,0,0.0380222187451103,0.281802534814583,0,0,0,0,0.209982788296041,0.0137693631669535,0.0981067125645439,0.0666562353309341,0.0860585197934595,0.00469410107964325,0,0.00093882021592865,0,0,0,0,0,151000,91000,0,0,363000,8,1735000,72,0.83,0.09,0.23,0.16,0.17,0.01,1362000,1018402.85,4747000,464000,0.04,0.05,0.01,0,0,0.14,0,0.02,0,0,0.07,0,0,121,169,2,93,48,15,2500,47,1100,44,93,0,42
"서초구",1976,"남",3,0,410,100,17,440,"세대주",0,0,1,0,0,6,96000,3,136830,143500,0,41000,0,35800,0,6363,6363,0,5846,517,0,0,2,0,3,2394000,0.363893642227195,0,0.00276424904567592,0.291825720679216,0.180400157957088,0,0.0754245096748717,0,0,0,0,0,0,0.0170462024483349,0.00223772541792813,0.0134263525075688,0.0529814400421219,0,0,0,0,0,46000,129000,0,0,45000,6,1938000,129,0.64,0.15,0.15,0.18,0.3,0.01,2365000,1763977.61,7280000,627000,0.06,0.04,0,0,0,0.02,0,0.07,0.02,0,0,0.01,6,0,0,0,0,100,29,6000,38,570,39,31,1,97
"송파구",1974,"여",3,0,420,NA,NA,NA,"세대주",0,0,1,1,0,6,34000,39,265000,287000,0,37550,0,36500,0,195,0,195,161,0,0,0,4,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1084000,524346.12,1993000,0,0,0,0,0,0,0,0,0,0.01,0,0.07,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강서구",1979,"남",4,0,510,78,27,400,"세대주",0,1,1,0,1,6,40000,26,980440,958250,2,93700,93700,2400,25000,5878,5878,0,6915,0,0,0,3,1,2,4311000,0.110806112178607,0,0.118675084637204,0.280080519718181,0.103303138439015,0,0.0641412755055357,0,0,0,0,0.0126269558056547,0.215390246134139,0.00420898526855156,0,0,0,0,0.0907676823131119,0,0,0,39000,69000,0,46000,4713000,23,3057000,103,0.66,0.07,0.29,0.14,0.09,0.01,2305000,709927.09,3478000,1019000,0.13,0.01,0.09,0,0,0.07,0,0.02,0,0,0.01,0,5,0,0,0,0,110,33,1300,56,1000,64,71,56,23
"마포구",1944,"남",2,0,910,NA,NA,NA,"세대주",0,1,1,0,0,6,22000,78,817320,805000,0,25400,0,23000,0,871,871,0,924,0,0,0,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685000,1554707.55,5046000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"송파구",1976,"남",2,0,420,78,66,270,"세대주",0,0,1,0,0,6,43000,22,552990,535500,0,95525,0,60810,0,2628,2628,0,2752,0,0,0,2,0,1,424000,0.462798092209857,0,0,0.156438791732909,0.0813990461049285,0,0,0,0,0.0190779014308426,0,0.14610492845787,0.0014308426073132,0.00651828298887122,0.00286168521462639,0,0,0,0.123370429252782,0,0,0,0,0,0,0,188000,10,1123000,35,0.56,0.09,0.61,0.13,0.06,0.01,1353000,3716442.78,10760000,0,0.02,0,0.06,0,0,0.26,0,0.01,0,0,0.03,0,0,2,0,0,2,100,51,1800,42,1900,45,68,21,59
"강남구",1960,"남",0,0,910,97,35,820,"세대주",0,0,1,0,0,6,NA,NA,0,0,0,150000,130000,18600,0,0,0,0,0,0,0,0,0,0,1,2561000,0.278781038374718,0,0.0440180586907449,0,0,0,0.040443942814146,0,0,0,0,0,0,0.554552294958616,0.0822046651617758,0,0,0,0,0,0,0,0,0,0,0,10000,2,2409000,62,0.73,0.05,0.24,0.31,0.13,0,792000,1041033.06,3569000,308000,0,0,0,0,0,0.19,0,0,0,0,0,0.13,0,1,0,0,1,190,90,5100,53,3500,63,76,62,160
"마포구",1976,"여",2,0,440,60,20,250,"세대주",0,1,1,0,0,6,75000,5,1377620,1370440,0,199000,188000,136000,0,8893,8893,0,8786,0,0,48,6,2,4,6035000,0,0,0.320986069204596,0,0.0835847724208769,0,0,0,0,0,0,0,0.195608910573281,0.0905822687295371,0,0,0.00109135263529563,0.164537459074276,0.143609167362136,0,0,0,374000,243000,16000,584000,2785000,104,4279000,96,0.78,0.01,0.23,0.3,0.17,0,3741000,1297297.84,6523000,1824000,0.02,0.04,0.12,0,0,0.03,0,0.01,0,0,0.11,0,9,6,0,1,5,42,30,56,36,98,37,30,28,23
"은평구",1953,"남",0,0,440,NA,NA,NA,"세대주",0,1,0,0,0,6,48000,16,859600,864460,0,0,0,0,0,95,76,19,97,0,0,0,1,2,1,55000,0,0,0,0,0,0,0,0,0,0,0,0.344520188778186,0,0,0,0,0,0.655479811221814,0,0,0,0,0,0,0,0,42000,3,28000,2,1,0.33,0,0,0.33,0,199000,279862.94,911000,10000,0.03,0,0,0,0,0.07,0,0,0,0,0.19,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강북구",1947,"남",1,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,23000,74,944650,931660,0,0,0,0,0,6,6,0,0,0,0,0,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2000,3,0,0.16,0.23,0,0.5,0,110000,146123.26,474000,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"노원구",1966,"남",3,0,430,NA,NA,NA,"세대주",0,0,0,0,0,6,39970,27,368460,332640,0,0,0,0,0,4012,3835,177,4301,508,0,0,1,1,4,2228000,0.0149653242486921,0,0,0.0684998174960458,0.0215354666017764,0,0,0,0,0,0.0102202214381312,0.132619540090035,0,0.075191629151965,0,0,0,0.188465750091252,0.488502250882102,0,0,0,22000,0,14000,0,3287000,26,1798000,76,0.87,0.18,0.29,0.12,0.23,0.04,4044000,6054442.15,20047000,0,0.03,0,0.11,0,0,0.01,0,0.02,0,0,0.09,0,0,11,2,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"동작구",1958,"남",1,2,420,25,12,33,"세대주",0,1,0,0,0,6,29000,54,1459840,1297170,0,0,0,0,0,4894,4894,0,5301,0,0,0,2,0,3,4120000,0.534435505260366,0,0.11519759526125,0.0694014675979135,0.143753867916188,0,0.000707276102908673,0.0176819025727168,0,0,0,0.080364247192998,0,0.0334187958624348,0.00203341879586243,0,0.00300592343736186,0,0,0,0,0,15000,73000,0,0,221000,3,4025000,109,0.62,0.09,0.35,0.12,0.33,0,2324000,1287412.2,4129000,243000,0.01,0.02,0.01,0,0,0.41,0,0.03,0,0,0.03,0.02,0,432,141,158,29,87,38,2200,53,1600,35,34,58,44
"송파구",1973,"남",2,2,510,NA,NA,NA,"세대주",0,0,1,0,1,6,49000,15,240000,230000,0,50000,0,50000,0,34896,34896,0,10004,2805,9420,134,3,2,4,1241000,0.178530424799082,0,0,0.00137772675086108,0.225258323765786,0.0944890929965557,0.0181400688863375,0,0,0,0,0.184615384615385,0.00103329506314581,0,0.0026406429391504,0,0,0.0896670493685419,0.204247990815155,43000,0,0,30000,35000,0,0,1371000,21,463000,27,0.44,0.08,0.14,0.25,0.24,0,8396000,12126292.8,44200000,1281000,0,0,0.03,0,0,0.24,0.01,0,0,0,0.02,0,0,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강서구",1942,"남",1,0,420,32,11,150,"세대주",0,0,1,0,0,6,31000,47,109540,93170,0,35800,47535,33180,30000,3199,3195,4,3233,231,0,0,2,2,2,3767000,0.23859465128474,0.00511274252753015,0,0.0736759307813319,0.186877294179339,0,0,0,0,0.0116675406397483,0,0.0268746722600944,0.00766911379129523,0.016255899318301,0,0,0,0.271106449921342,0.162165705296277,297000,0,0,48000,26000,29000,365000,3001000,44,3028000,47,0.85,0.12,0.23,0.5,0.21,0.03,1445000,793193.11,2995000,257000,0.15,0.01,0.2,0,0,0.24,0,0.03,0,0,0.46,0.06,1,133,0,11,11,130,30,1600,42,1000,68,74,0,23
"도봉구",1954,"남",1,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,26000,64,377410,380000,0,0,0,0,0,1693,198,1495,1523,0,0,0,4,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.37,0,1,0,608000,1339582.29,4250000,168000,0.04,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강북구",1969,"남",1,0,420,NA,NA,NA,"세대주",0,0,1,0,0,6,51000,14,167470,167290,0,100000,0,0,0,462,462,0,509,0,0,0,3,2,1,2881000,0.0302345670808692,0,0,0.00112964316565885,0.62701840653864,0,0.00671140939597315,0,0,0,0.00571466542627417,0.0553525151172835,0,0.00465147185859526,0,0,0,0.269187321416705,0,0,0,0,17000,73000,0,0,1387000,28,2596000,85,0.77,0.27,0.24,0.21,0.13,0,875000,661539.42,2609000,536000,0.05,0.13,0.01,0,0,0.03,0,0.07,0,0,0,0,0,54,0,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"은평구",1965,"남",0,0,420,85,29,200,"세대주",0,0,0,0,0,6,49000,15,193330,112070,0,0,0,0,0,395,0,395,306,0,0,29,1,1,1,1001000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924000,28,0.91,0,0.33,0.36,0.14,0,482000,268741.8,1022000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,54,2000,24,1100,29,21,49,160
"동작구",1965,"남",1,0,420,NA,NA,NA,"세대주",0,0,1,0,0,6,34830,39,122220,121910,0,9000,0,9000,20000,2823,2823,0,2622,0,0,0,2,2,1,1881000,0.0535370684776457,0,0,0,0.211544991511036,0,0,0,0,0,0,0.470401810979061,0,0,0,0.0033955857385399,0,0.261120543293718,0,0,0,0,186000,0,0,0,1285000,25,1438000,61,0.75,0.19,0.1,0.24,0.23,0.09,899000,458470.32,1670000,430000,0.03,0,0.04,0,0,0.09,0,0.01,0,0,0.19,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"성북구",1944,"남",2,0,910,NA,NA,NA,"세대주",0,0,0,0,0,6,24000,71,568150,570750,0,0,0,0,0,17,17,0,8,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,89136.37,244000,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"중구",1979,"남",3,0,440,24,23,440,"세대주",0,0,1,0,1,6,72000,6,434830,435300,1,316589,0,150000,0,3077,2481,596,2488,0,0,0,4,4,1,1347000,0.108688977586736,0.00161191280319312,0.17032545287074,0.164184832668099,0.106155971753147,0,0.101780779858766,0,0,0,0.0140466687135401,0,0.122735646300276,0.0578753454098864,0,0,0.0649370586429229,0.0620202640466687,0.0256370893460239,0,0,0,0,0,0,44000,133000,1,1246000,72,0.47,0.04,0.35,0.3,0.13,0.01,943000,624610.6,1570000,85000,0.16,0,0.13,0,0,0.07,0,0.17,0,0,0,0.01,0,11,1,1,9,100,35,1200,35,340,37,53,17,180
"동작구",1978,"남",3,0,510,NA,NA,NA,"세대주",0,0,1,0,1,6,39000,28,884030,764650,0,377000,362000,36000,0,15970,15970,0,18400,1222,0,0,2,3,8,14549000,0.237688553682342,0,0.00210736468500444,0.00709849157054126,0.157941437444543,0,0.00454747116237799,0,0,0.32575421472937,0,0.0651064773735581,0.000665483584738243,0.0114241348713398,0.0207409050576752,0,0,0.0925022182786158,0.0744232475598935,260000,0,0,1405000,0,323000,0,1735000,40,14097000,315,0.84,0.05,0.22,0.24,0.42,0.02,5819000,3990102.45,14590000,3592000,0.1,0.07,0.13,0,0,0.17,0,0.06,0,0,0.28,0,5,128,0,78,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"구로구",1957,"남",1,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,42810,23,1015610,1015610,0,0,0,0,0,1590,1590,0,1534,0,0,0,1,4,1,1421000,0.577116512992456,0,0,0,0.232816429170159,0,0,0,0,0,0,0,0,0.151508801341157,0,0,0.00209555741827326,0.0364626990779547,0,0,0,0,89000,0,0,0,290000,4,1376000,71,0.68,0.1,0.23,0.34,0.28,0,497000,215858.73,1037000,277000,0.02,0,0.03,0,0,0.37,0,0,0,0,0.1,0.03,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"용산구",1981,"남",0,2,420,NA,NA,NA,"세대주",0,0,0,0,0,6,38000,30,705000,675240,0,0,0,0,0,2806,2792,14,2319,0,0,0,3,5,1,1894000,0.156843710997088,0,0,0.178893357370684,0.443905144917487,0,0,0,0,0,0.0385522118984884,0,0,0.0252392178616003,0,0,0.00374427957287478,0.152822077381778,0,0,0,0,0,40000,0,0,490000,24,1813000,37,0.59,0.01,0.14,0.55,0.02,0.03,853000,259420.39,1094000,420000,0,0.04,0.09,0,0,0,0,0,0,0,0.06,0.01,0,73,31,4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"구로구",1958,"남",0,0,420,24,13,100,"세대주",0,1,1,0,0,6,53000,13,1015210,668400,0,153000,0,75300,13000,4194,4194,0,1227,1826,0,0,4,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,341000,1,0,0,1,0.2,0.05,0.24,0,0,2326000,5846144.1,20089000,251000,0,0,0,0,0,0,0,0.03,0,0,0.1,0,0,0,0,0,0,67,20,1000,24,99,33,16,0,38
"종로구",1968,"남",0,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,61000,9,1109580,1120000,0,0,0,0,0,1107,1107,0,1083,0,0,0,3,3,1,988000,0.551278888066453,0,0,0,0,0,0,0,0,0,0,0.0349535323628588,0,0,0,0,0,0,0.413767579570688,0,0,0,0,0,0,10000,8000,2,283000,13,0.73,0.22,0.66,0.1,0.13,0,672000,220287.55,1111000,135000,0.01,0,0.69,0,0,0.5,0,0.01,0.2,0,0,0.38,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"양천구",1991,"여",3,1,910,38,17,430,"세대주",0,0,1,0,0,6,25000,68,135420,11160,0,270400,200000,28140,0,158,0,158,195,0,0,0,0,5,1,154000,0.101219512195122,0,0.0293621013133208,0.00131332082551595,0.0700750469043152,0,0.00703564727954972,0,0,0,0.00872420262664165,0.322607879924953,0,0,0,0,0,0,0.459662288930582,30000,0,0,4000,0,0,0,433000,7,0,0,1,0.16,0.19,0.11,0,0.06,67000,0,94000,44000,0.1,0.01,1,0,0,0.02,0,0,0,0,0.95,0,0,0,0,0,0,100,4,1000,22,210,35,38,24,88
"중랑구",1976,"남",2,0,510,NA,NA,NA,"세대주",0,0,1,0,1,6,42000,23,334640,131270,0,57321,0,0,0,2599,2421,178,2412,0,0,0,1,2,1,2658000,0.130738630254811,0,0,0.323728631329965,0.131383722180411,0,0.0179550585958499,0,0,0,0,0.182130953660897,0,0.00419309751639609,0,0,0.0525749919363509,0.0249435544565101,0.13235136006881,0,0,0,139000,51000,0,195000,1330000,24,2345000,98,0.77,0.05,0.15,0.21,0.26,0.17,940000,1026839.87,4396000,0,0.23,0.01,0.15,0,0,0.1,0,0.03,0,0,0.13,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서초구",1944,"남",2,0,510,NA,NA,NA,"세대주",0,0,0,0,0,6,39000,28,1321750,1321750,0,0,0,0,0,1846,1846,0,1989,0,0,0,1,1,1,1345000,0.153325083045659,0,0,0.00442910180420765,0.0629844330098352,0,0.575848368397056,0,0.0736012505699212,0.00696932195662086,0.00859766820816779,0.00156321240148505,0,0,0,0,0,0.112681560607047,0,0,0,0,3000,0,0,0,0,0,1204000,44,0.71,0.11,0.3,0.3,0.22,0,802000,293516.46,1115000,148000,0.03,0,0.27,0,0,0.23,0,0.01,0,0,0,0.02,0,56,0,12,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"양천구",1958,"남",0,0,910,NA,NA,NA,"세대주",0,0,0,0,0,6,25000,68,176270,176030,0,0,0,0,0,2139,2139,0,1927,0,0,0,2,3,1,1680000,0.18978705809386,0,0,0,0.312866101578113,0,0.0155743918406726,0,0,0,0.00468610019984839,0,0,0.176831369306044,0,0,0.00716697677623872,0.293088002205224,0,0,0,0,210000,237000,0,0,290000,6,1634000,233,0.71,0.01,0.04,0.19,0.47,0,599000,249247.01,1026000,175000,0.27,0.34,0,0,0,0.31,0,0.14,0,0.01,0,0.05,0,39,2,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"양천구",1942,"남",1,0,420,20,3,50,"세대주",0,0,0,0,0,6,25000,68,1014830,1025550,0,0,0,0,0,4167,4040,127,3864,1033,0,0,4,2,2,4112000,0.0437512135136884,0,0.546890168921105,0.013332470390266,0.033719500355964,0.0546890168921106,0.0127499838198175,0,0,0,0,0.138049317196298,0,0.0256294090997346,0,0,0,0.131188919811015,0,0,0,0,107000,0,0,0,641000,20,4152000,131,0.82,0.07,0.07,0,0.28,0.1,1718000,1169608.66,5139000,447000,0.09,0,0.03,0,0,0.04,0,0.02,0,0,0.03,0.01,0,30,2,1,26,5,9,110,5,140,28,7,1,5
"송파구",1944,"남",2,0,910,6,12,10,"세대주",0,0,0,0,0,6,27000,60,1283850,1202080,0,0,0,0,0,2843,2843,0,3286,0,0,0,1,3,2,2812000,0.354059829059829,0,0,0.0838675213675214,0.200213675213675,0,0.0377136752136752,0,0,0,0.0112179487179487,0,0,0.31292735042735,0,0,0,0,0,0,0,0,0,4000,0,0,1331000,45,2670000,85,0.73,0.17,0.47,0.11,0.07,0,1047000,973518.51,3322000,299000,0.01,0,0.01,0,0,0.25,0,0.02,0,0,0.16,0.01,0,90,0,36,11,93,9,1400,27,630,47,23,0,18
"도봉구",1927,"여",0,0,910,0,NA,NA,"세대주",0,1,0,0,0,6,26000,64,486040,409360,0,0,0,0,0,1640,1640,0,1114,520,0,0,1,0,1,1117000,0.191695727986051,0,0,0,0.210440278988666,0.544899738448126,0,0,0,0,0,0.0290976460331299,0,0.0238666085440279,0,0,0,0,0,0,0,0,3000,1000,0,0,953000,15,369000,18,0.96,0,0.5,0.25,0.18,0.01,1442000,2894425.83,7249000,308000,0.01,0,0.03,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"은평구",1944,"남",1,0,420,NA,NA,NA,"세대주",0,1,0,0,0,6,32000,44,859600,846660,0,0,0,0,0,846,846,0,799,0,0,0,1,0,1,456000,0.159075859024354,0,0,0,0,0,0,0,0,0,0,0,0,0.105143109410639,0,0,0,0.735781031565006,0,0,0,0,0,0,0,0,0,0,503000,13,0.74,0.01,0.08,0.47,0.21,0,300000,200422.99,769000,121000,0.02,0,0,0,0,0.23,0,0,0,0,0,0.05,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
